Авиакомпания,Страна,Код ИКАО,Количество аварий,Количество погибших,Количество раненых,Рейтинг безопасности,Количество вылетов
Air India,Индия,AIC,2,5,17,8.9,4000
LATAM Airlines,Чили,LAN,1,2,9,8.6,3500
Copa Airlines,Панама,CMP,0,0,0,9.8,6000
AirAsia,Малайзия,AXM,3,120,56,7.5,5500
Avianca,Колумбия,AVA,1,3,8,8.7,3000
EgyptAir,Египет,MSR,2,19,56,8.3,2500
Japan Airlines,Япония,JAL,1,0,0,9.9,7000
Ryanair,Ирландия,RYR,4,12,34,8.1,9000
SAS Scandinavian Airlines,Швеция,SAS,1,1,7,9.5,4500
Air Arabia,ОАЭ,ABY,2,0,0,9.9,5500
Alitalia,Италия,AZA,2,5,23,8.4,4000
IndiGo,Индия,IGO,1,0,0,9.9,8000
Vietnam Airlines,Вьетнам,HVN,1,0,0,9.7,3500
Alaska Airlines,США,ASA,1,0,0,9.9,5000
TAP Air Portugal,Португалия,TAP,1,1,6,9.4,3000
